id,doi,title,year,authors,abstract,source,query_used
https://openalex.org/W3165912329,https://doi.org/10.32657/10356/147791,Towards humanized open-domain conversational agents,2021,Peixiang Zhong,,OpenAlex,anthropomorphism OR anthropomorphization OR human-like traits AND artificial intelligence OR AI OR l
https://openalex.org/W4404950440,https://doi.org/10.21125/iceri.2024.1401,LARGE LANGUAGE MODELS IN THE DESIGN PROCESS: A WORKSHOP ON THE POSSIBILITIES OF HUMAN-AI COLLABORATION THROUGH KNOWLEDGE FORMATION,2024,"Andrea Mastroianni, Lucia Rampino, Fabio Antonio Figoli",,OpenAlex,anthropomorphism OR anthropomorphization OR human-like traits AND artificial intelligence OR AI OR l
https://openalex.org/W4400587245,https://doi.org/10.16926/eat.2023.12.05,Human-Computer Interaction in the Era of Advanced Artificial Intelligence Language Models,2023,Zbigniew Łęski,,OpenAlex,anthropomorphism OR anthropomorphization OR human-like traits AND artificial intelligence OR AI OR l
https://openalex.org/W4387267058,https://doi.org/10.1038/s42256-023-00720-7,"Influencing human–AI interaction by priming beliefs about AI can increase perceived trustworthiness, empathy and effectiveness",2023,"Pat Pataranutaporn, Ruby Liu, Ed Finn, Pattie Maes",,OpenAlex,human-AI interaction AND anthropomorphic OR human-like AND language model OR chatbot
https://openalex.org/W4402830391,https://doi.org/10.2196/64406,Ethical Considerations in Human-Centered AI: Advancing Oncology Chatbots Through Large Language Models,2024,"James C. L. Chow, Kay Li",,OpenAlex,human-AI interaction AND anthropomorphic OR human-like AND language model OR chatbot
https://openalex.org/W4389913153,https://doi.org/10.1186/s41239-023-00432-3,Integrating chatbots in education: insights from the Chatbot-Human Interaction Satisfaction Model (CHISM),2023,"Jose Belda-Medina, Vendula Kokošková",,OpenAlex,human-AI interaction AND anthropomorphic OR human-like AND language model OR chatbot
https://openalex.org/W4399362852,https://doi.org/10.1145/3630106.3658956,When Human-AI Interactions Become Parasocial: Agency and Anthropomorphism in Affective Design,2024,"Takuya Maeda, Anabel Quan‐Haase",,OpenAlex,human-AI interaction AND anthropomorphic OR human-like AND language model OR chatbot
https://openalex.org/W4398166765,https://doi.org/10.1016/j.ins.2024.120759,VIRTSI: A novel trust dynamics model enhancing Artificial Intelligence collaboration with human users – Insights from a ChatGPT evaluation study,2024,"Maria Virvou, George A. Tsihrintzis, Evangelia-Aikaterini Tsichrintzi",,OpenAlex,human-AI interaction AND anthropomorphic OR human-like AND language model OR chatbot
https://openalex.org/W4294892321,https://doi.org/10.1109/icisit54091.2022.9873008,The Effect of Anthropomorphic Design Cues on Increasing Chatbot Empathy,2022,"Riswanda Al Farisi, Ridi Ferdiana, Teguh Bharata Adji",,OpenAlex,human-AI interaction AND anthropomorphic OR human-like AND language model OR chatbot
https://openalex.org/W4386141105,https://doi.org/10.1080/10447318.2023.2247596,How Do People Ascribe Humanness to Chatbots? An Analysis of Real-World Human-Agent Interactions and a Theoretical Model of Humanness,2023,"Amon Rapp, Arianna Boldi, Lorenzo Curti, Alessandro Perrucci, Rossana Simeoni",,OpenAlex,human-AI interaction AND anthropomorphic OR human-like AND language model OR chatbot
https://openalex.org/W4385625464,https://doi.org/10.1109/conit59222.2023.10205689,Anthropomorphism of AI based chatbots by users during communication,2023,"Avanti Chinmulgund, Ritesh Khatwani, Poornima Tapas, Pritesh Shah, Ravi Sekhar",,OpenAlex,human-AI interaction AND anthropomorphic OR human-like AND language model OR chatbot
