id,doi,title,year,authors,abstract,source,query_used
https://openalex.org/W2896252141,https://doi.org/10.1038/s41586-018-0637-6,The Moral Machine experiment,2018,"Edmond Awad, Sohan Dsouza, Richard Kim, Jonathan Schulz, Joseph Henrich",,OpenAlex,anthropomorphism OR anthropomorphization OR human-like traits AND artificial intelligence OR AI OR l
https://openalex.org/W4386143024,https://doi.org/10.1016/j.ject.2023.08.001,"A study on ChatGPT for Industry 4.0: Background, potentials, challenges, and eventualities",2023,"Mohd Javaid, Abid Haleem, Ravi Pratap Singh",,OpenAlex,anthropomorphism OR anthropomorphization OR human-like traits AND artificial intelligence OR AI OR l
https://openalex.org/W4391713912,https://doi.org/10.1038/s41598-024-53303-w,The current state of artificial intelligence generative language models is more creative than humans on divergent thinking tasks,2024,"Kent Hubert, Kim N. Awa, Darya L. Zabelina",,OpenAlex,anthropomorphism OR anthropomorphization OR human-like traits AND artificial intelligence OR AI OR l
https://openalex.org/W4385246972,https://doi.org/10.3390/ijerph20156438,The Utility of Language Models in Cardiology: A Narrative Review of the Benefits and Concerns of ChatGPT-4,2023,"Dhir Gala, Amgad N. Makaryus",,OpenAlex,anthropomorphism OR anthropomorphization OR human-like traits AND artificial intelligence OR AI OR l
https://openalex.org/W4391322710,https://doi.org/10.1093/pnasnexus/pgae035,The persuasive effects of political microtargeting in the age of generative artificial intelligence,2024,"Almog Simchon, Matthew Edwards, Stephan Lewandowsky",,OpenAlex,anthropomorphism OR anthropomorphization OR human-like traits AND artificial intelligence OR AI OR l
https://openalex.org/W4313057149,https://doi.org/10.1007/978-3-031-14748-7_8,Recent Applications of Artificial Intelligence for Sustainable Development in Smart Cities,2022,"Tanweer Alam, Ruchi Gupta, Shamimul Qamar, Arif Ullah",,OpenAlex,anthropomorphism OR anthropomorphization OR human-like traits AND artificial intelligence OR AI OR l
https://openalex.org/W4392607660,https://doi.org/10.1109/taffc.2024.3374875,"Can Large Language Models Assess Personality From Asynchronous Video Interviews? A Comprehensive Evaluation of Validity, Reliability, Fairness, and Rating Patterns",2024,"Tianyi Zhang, Antonis Koutsoumpis, Janneke K. Oostrom, Djurre Holtrop, Sina Ghassemi",,OpenAlex,anthropomorphism OR anthropomorphization OR human-like traits AND artificial intelligence OR AI OR l
https://openalex.org/W4403745294,https://doi.org/10.3389/fpls.2024.1435016,Intelligent agriculture: deep learning in UAV-based remote sensing imagery for crop diseases and pests detection,2024,"Hongyan Zhu, Chengzhi Lin, G. Liu, Dani Wang, Shuai Qin",,OpenAlex,anthropomorphism OR anthropomorphization OR human-like traits AND artificial intelligence OR AI OR l
https://openalex.org/W3007945801,https://doi.org/10.1007/s12275-020-0066-8,Machine learning methods for microbiome studies,2020,Junghyun Namkung,,OpenAlex,anthropomorphism OR anthropomorphization OR human-like traits AND artificial intelligence OR AI OR l
https://openalex.org/W2793717674,https://doi.org/10.1016/j.chb.2018.02.025,Stereotypes or golden rules? Exploring likable voice traits of social robots as active aging companions for tech-savvy baby boomers in Taiwan,2018,"Rebecca Cherng-Shiow Chang, Hsi‐Peng Lu, Pei‐Shan Yang",,OpenAlex,anthropomorphism OR anthropomorphization OR human-like traits AND artificial intelligence OR AI OR l
