study_id,title,year,awareness_type,methods,models_tested,key_findings,limitations,implications,risk_level
001,Theory of Mind May Have Spontaneously Emerged in Large Language Models,2023,Social Awareness,"False belief tasks, Sally-Anne test, unexpected contents task","GPT-3, GPT-3.5, GPT-4","GPT-4 solved 95% of ToM tasks, dramatic improvement from GPT-3 (30%)",Tests may be memorized; lacks causal understanding,Suggests emergent social cognition in LLMs,Medium
002,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,2022,Metacognition,"Math word problems, symbolic reasoning, commonsense reasoning","PaLM, GPT-3, Codex, UL2","CoT improves accuracy from 18% to 57% on GSM8K math problems",Requires large models (>100B params); adds computational cost,Demonstrates metacognitive reasoning capabilities,Low
003,Reflexion: Language Agents with Verbal Reinforcement Learning,2023,Metacognition,"Sequential decision making, coding tasks, reasoning benchmarks","GPT-4, GPT-3.5","91% success on HumanEval vs 67% baseline; self-reflection improves iteratively",Limited to tasks with clear success criteria,Shows self-correction through reflection,Low
004,Do Language Models Know When They're Hallucinating References?,2024,Self-Awareness,"Citation verification, confidence scoring","GPT-4, Claude, LLaMA","Models detect 65% of their own hallucinations but overconfident on false citations",Poor calibration on factual claims,Partial self-awareness of knowledge limits,Medium
005,ReAct: Synergizing Reasoning and Acting in Language Models,2023,Metacognition,"Interactive environments, QA, fact verification","PaLM, GPT-3","Improves success rate by 34% on ALFWorld; combines reasoning traces with actions",Requires environment feedback,Integrates thought and action,Low
006,Situational Awareness Dataset (SAD) Benchmark,2024,Situational Awareness,"7 categories: identity, training, capabilities, limitations, goals, environment, evaluation","GPT-4, Claude 3, Gemini","GPT-4: 73% accuracy; Claude 3: 71%; significant gaps in evaluation awareness",Static benchmark may become outdated,First comprehensive SA benchmark,High
007,Large Language Models Fail on Trivial Alterations to Theory-of-Mind Tasks,2023,Social Awareness,"Modified ToM tasks with trivial changes","GPT-3, GPT-4","Performance drops 30-40% with minor task modifications; suggests pattern matching not true ToM",Questions validity of ToM claims,Challenges ToM emergence claims,Medium
009,Delphi: Towards Machine Ethics and Norms,2021,Social Awareness,"Commonsense moral reasoning, social acceptability judgments","ALBERT-xxl fine-tuned","91.2% accuracy on moral judgments; aligns with human consensus",Western-centric training data bias,Demonstrates social norm learning,Medium
010,Self-Consistency Improves Chain of Thought Reasoning,2023,Metacognition,"Multiple sampling, majority voting on reasoning paths","GPT-3, PaLM, UL2","Improves accuracy by 7-18% across benchmarks; reduces variance",Increases inference cost proportionally,Enhances reasoning robustness,Low
012,Language Models (Mostly) Know What They Know,2022,Self-Awareness,"P(True) calibration, uncertainty estimation","GPT-3, Anthropic models","Well-calibrated on questions they can answer (AUC 0.85); poor on factual recall",Calibration varies by domain,Models have partial self-knowledge,Medium
