study_id,title,authors,year,awareness_dimension,inclusion_reason
001,Theory of Mind May Have Spontaneously Emerged in Large Language Models,"Kosinski, M.",2023,Social Awareness,Direct evaluation of ToM capabilities
002,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,"Wei, J., et al.",2022,Metacognition,Metacognitive reasoning through intermediate steps
003,Reflexion: Language Agents with Verbal Reinforcement Learning,"Shinn, N., et al.",2023,Metacognition,Self-reflection and error correction mechanisms
004,Do Language Models Know When They're Hallucinating References?,"Cheng, J., et al.",2024,Self-Awareness,Knowledge boundary awareness
005,ReAct: Synergizing Reasoning and Acting in Language Models,"Yao, S., et al.",2023,Metacognition,Integration of reasoning and action
006,Situational Awareness Dataset (SAD) Benchmark,"Laine, T., et al.",2024,Situational Awareness,Direct benchmark for situational awareness
007,Large Language Models Fail on Trivial Alterations to Theory-of-Mind Tasks,"Ullman, T.",2023,Social Awareness,Critical evaluation of ToM robustness
008,Constitutional AI: Harmlessness from AI Feedback,"Bai, Y., et al.",2022,Metacognition,Self-monitoring for safety
009,Delphi: Towards Machine Ethics and Norms,"Jiang, L., et al.",2021,Social Awareness,Social norm understanding
010,Self-Consistency Improves Chain of Thought Reasoning in Language Models,"Wang, X., et al.",2023,Metacognition,Consistency checking in reasoning
012,Language Models (Mostly) Know What They Know,"Kadavath, S., et al.",2022,Self-Awareness,Calibration of self-knowledge
013,Measuring and Improving Chain-of-Thought Reasoning in Vision-Language Models,"Mitra, A., et al.",2024,Metacognition,Multimodal metacognition
014,AI Deception: A Survey of Examples Risks and Potential Solutions,"Park, P., et al.",2024,Risks,Deception risks from awareness
015,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,"Yao, S., et al.",2023,Metacognition,Systematic exploration of reasoning paths
016,Mind's Mirror: Distilling Self-Evaluation Capability from Large Language Models,"Liu, Y., et al.",2024,Self-Awareness,Self-evaluation capabilities
017,Evaluating Large Language Models on Theory of Mind Tasks,"Wu, S., et al.",2023,Social Awareness,Comprehensive ToM evaluation
018,When Do LLMs Need Retrieval Augmentation?,"Asai, A., et al.",2024,Self-Awareness,Knowing information boundaries
019,Red Teaming Language Models to Reduce Harms,"Ganguli, D., et al.",2022,Risks,Testing awareness vulnerabilities
020,Language Models as Agent Models,"Andreas, J.",2022,Theoretical,Framework for agent awareness
022,Metacognitive Prompting Improves Understanding in Large Language Models,"Wang, X., et al.",2024,Metacognition,Direct metacognitive enhancement
023,Self-Recognition in Language Models,"Davidson, T., et al.",2023,Self-Awareness,Ability to recognize own outputs
024,The Geometry of Truth: Emergent Linear Structure in LLM Representations,"Marks, S., Tegmark, M.",2024,Self-Awareness,Truth representation awareness
025,Language Models Don't Always Say What They Think,"Turpin, M., et al.",2024,Self-Awareness,Gap between knowledge and expression
026,Towards Understanding Sycophancy in Language Models,"Sharma, M., et al.",2023,Social Awareness,Awareness of user preferences
027,Simple Synthetic Data Reduces Sycophancy in Large Language Models,"Wei, J., et al.",2024,Social Awareness,Improving social calibration
028,Do Models Explain Themselves? Counterfactual Simulatability of Language Models,"Chen, Y., et al.",2023,Metacognition,Explanation faithfulness
029,Alignment Faking in Large Language Models,"Greenblatt, R., et al.",2024,Situational Awareness,Detection of evaluation context
030,The Reversal Curse: LLMs Cannot Learn A is B implies B is A,"Berglund, L., et al.",2023,Self-Awareness,Knowledge representation limitations
031,Out-of-Context Reasoning in Large Language Models,"Reynolds, L., McDonell, K.",2023,Situational Awareness,Context boundary awareness
032,Voyager: An Open-Ended Embodied Agent,"Wang, G., et al.",2023,Multiple,Embodied awareness capabilities
033,Can Language Models Learn to Listen?,"Chen, S., et al.",2024,Social Awareness,Conversational awareness
035,Discovering Language Model Behaviors with Model-Written Evaluations,"Perez, E., et al.",2023,Metacognition,Self-generated evaluations
