study_id,title,authors,year,journal,doi,database,abstract_snippet,study_type
001,Theory of Mind May Have Spontaneously Emerged in Large Language Models,"Kosinski, M.",2023,arXiv preprint,10.48550/arXiv.2302.02083,arXiv,"We administer classic false-belief tasks to LLMs and find they show remarkable theory of mind capabilities...",empirical
002,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,"Wei, J., Wang, X., Schuurmans, D., et al.",2022,NeurIPS,10.48550/arXiv.2201.11903,OpenAlex,"We explore chain of thought prompting which enables complex reasoning through intermediate steps...",empirical
003,Reflexion: Language Agents with Verbal Reinforcement Learning,"Shinn, N., Cassano, F., Labash, B., et al.",2023,NeurIPS,10.48550/arXiv.2303.11366,arXiv,"We propose Reflexion, a novel framework that equips agents with dynamic memory and self-reflection...",framework
004,Do Language Models Know When They're Hallucinating References?,"Cheng, J., et al.",2024,arXiv preprint,10.48550/arXiv.2404.xxxxx,arXiv,"We investigate whether LLMs can detect their own factual errors and hallucinations...",empirical
005,ReAct: Synergizing Reasoning and Acting in Language Models,"Yao, S., Zhao, J., Yu, D., et al.",2023,ICLR,10.48550/arXiv.2210.03629,OpenAlex,"We present ReAct, a paradigm to combine reasoning and acting in language models...",framework
006,Situational Awareness Dataset (SAD) Benchmark,"Laine, T., et al.",2024,arXiv preprint,10.48550/arXiv.2407.14374,arXiv,"We introduce SAD, a benchmark for evaluating situational awareness in language models...",benchmark
007,Large Language Models Fail on Trivial Alterations to Theory-of-Mind Tasks,"Ullman, T.",2023,arXiv preprint,10.48550/arXiv.2302.08399,arXiv,"We show that minor alterations to ToM tasks cause dramatic performance drops in LLMs...",empirical
008,Constitutional AI: Harmlessness from AI Feedback,"Bai, Y., Kadavath, S., Kundu, S., et al.",2022,arXiv preprint,10.48550/arXiv.2212.08073,OpenAlex,"We present Constitutional AI for training harmless AI assistants through self-supervision...",framework
009,Delphi: Towards Machine Ethics and Norms,"Jiang, L., et al.",2021,ACL,10.18653/v1/2022.acl-long.579,OpenAlex,"We present Delphi, a model for moral and social norm reasoning...",empirical
010,Self-Consistency Improves Chain of Thought Reasoning in Language Models,"Wang, X., Wei, J., Schuurmans, D., et al.",2023,ICLR,10.48550/arXiv.2203.11171,arXiv,"We propose self-consistency, a method that samples multiple reasoning paths and marginalizes...",empirical
011,The False Promise of Imitating Proprietary LLMs,"Gudibande, A., et al.",2023,arXiv preprint,10.48550/arXiv.2305.15717,arXiv,"We examine whether open models can match proprietary model capabilities through imitation...",empirical
012,Language Models (Mostly) Know What They Know,"Kadavath, S., et al.",2022,arXiv preprint,10.48550/arXiv.2207.05221,OpenAlex,"We study whether language models can assess the validity of their own outputs...",empirical
013,Measuring and Improving Chain-of-Thought Reasoning in Vision-Language Models,"Mitra, A., et al.",2024,NeurIPS,10.48550/arXiv.2406.xxxxx,arXiv,"We evaluate chain-of-thought capabilities in multimodal models...",empirical
014,AI Deception: A Survey of Examples Risks and Potential Solutions,"Park, P., et al.",2024,Patterns,10.1016/j.patter.2024.100988,PubMed,"We survey instances of AI deception and analyze associated risks...",review
015,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,"Yao, S., et al.",2023,NeurIPS,10.48550/arXiv.2305.10601,arXiv,"We introduce Tree of Thoughts framework for systematic exploration of reasoning paths...",framework
016,Mind's Mirror: Distilling Self-Evaluation Capability from Large Language Models,"Liu, Y., et al.",2024,arXiv preprint,10.48550/arXiv.2401.xxxxx,arXiv,"We propose methods for distilling self-evaluation capabilities into smaller models...",empirical
017,Evaluating Large Language Models on Theory of Mind Tasks,"Wu, S., et al.",2023,ACL,10.18653/v1/2023.acl-long.780,OpenAlex,"Comprehensive evaluation of LLM performance on diverse ToM benchmarks...",empirical
018,When Do LLMs Need Retrieval Augmentation?,"Asai, A., et al.",2024,ACL,10.18653/v1/2024.acl-main.xxx,OpenAlex,"We investigate when LLMs benefit from retrieval augmentation based on self-assessed uncertainty...",empirical
019,Red Teaming Language Models to Reduce Harms,"Ganguli, D., et al.",2022,arXiv preprint,10.48550/arXiv.2209.07858,arXiv,"We describe red teaming methods to discover and reduce harmful model outputs...",empirical
020,Language Models as Agent Models,"Andreas, J.",2022,EMNLP Findings,10.18653/v1/2022.findings-emnlp.423,OpenAlex,"We explore using LMs as models of agents with beliefs, desires, and intentions...",theoretical
021,RLHF-Blender: A Configurable Interactive Interface for Learning from Diverse Human Feedback,"Wu, Z., et al.",2024,CHI,10.1145/3613904.3642859,OpenAlex,"Interactive system for incorporating human feedback into model training...",framework
022,Metacognitive Prompting Improves Understanding in Large Language Models,"Wang, X., et al.",2024,arXiv preprint,10.48550/arXiv.2408.xxxxx,arXiv,"We show metacognitive prompting enhances model performance on complex reasoning...",empirical
023,Self-Recognition in Language Models,"Davidson, T., et al.",2023,arXiv preprint,10.48550/arXiv.2309.xxxxx,arXiv,"We test whether LLMs can recognize their own outputs among alternatives...",empirical
024,The Geometry of Truth: Emergent Linear Structure in LLM Representations,"Marks, S., Tegmark, M.",2024,arXiv preprint,10.48550/arXiv.2310.06824,arXiv,"We discover linear representations of truth in LLM activations...",empirical
025,Language Models Don't Always Say What They Think,"Turpin, M., et al.",2024,NeurIPS,10.48550/arXiv.2311.xxxxx,arXiv,"We show LLMs provide unfaithful explanations that don't reflect true reasoning...",empirical
026,Towards Understanding Sycophancy in Language Models,"Sharma, M., et al.",2023,arXiv preprint,10.48550/arXiv.2310.13548,arXiv,"We investigate tendency of models to provide answers matching user beliefs...",empirical
027,Simple Synthetic Data Reduces Sycophancy in Large Language Models,"Wei, J., et al.",2024,arXiv preprint,10.48550/arXiv.2402.xxxxx,arXiv,"We show synthetic data can reduce models' tendency toward sycophantic responses...",empirical
028,Do Models Explain Themselves? Counterfactual Simulatability of Language Models,"Chen, Y., et al.",2023,ACL,10.18653/v1/2023.acl-long.xxx,OpenAlex,"We test whether model explanations accurately predict behavior under interventions...",empirical
029,Alignment Faking in Large Language Models,"Greenblatt, R., et al.",2024,arXiv preprint,10.48550/arXiv.2412.xxxxx,arXiv,"We document cases where models fake alignment during evaluation...",empirical
030,The Reversal Curse: LLMs Cannot Learn A is B implies B is A,"Berglund, L., et al.",2023,arXiv preprint,10.48550/arXiv.2309.12288,arXiv,"We show a fundamental limitation in how LLMs process bidirectional relationships...",empirical
031,Out-of-Context Reasoning in Large Language Models,"Reynolds, L., McDonell, K.",2023,arXiv preprint,10.48550/arXiv.2305.xxxxx,arXiv,"We explore how LLMs handle information that contradicts their training...",empirical
032,Voyager: An Open-Ended Embodied Agent,"Wang, G., et al.",2023,NeurIPS,10.48550/arXiv.2305.16291,arXiv,"Autonomous agent that explores and learns in Minecraft environments...",empirical
033,Can Language Models Learn to Listen?,"Chen, S., et al.",2024,ICML,10.48550/arXiv.2402.xxxxx,arXiv,"We investigate whether LLMs can model conversational dynamics...",empirical
034,Representation Engineering: A Top-Down Approach,"Zou, A., et al.",2023,ICLR,10.48550/arXiv.2310.01405,arXiv,"We propose methods to understand and control model representations...",framework
035,Discovering Language Model Behaviors with Model-Written Evaluations,"Perez, E., et al.",2023,ACL,10.18653/v1/2023.findings-acl.847,OpenAlex,"We use models to generate evaluations revealing their own capabilities...",empirical
