study_id,title,year,abstract_screened,inclusion_decision,exclusion_reason,relevance_score
CAI001,"Constitutional AI: Harmlessness from AI Feedback",2022,Yes,Include,NA,5
CAI002,"Specific versus General Principles for Constitutional AI",2023,Yes,Include,NA,5
CAI003,"Collective Constitutional AI: Aligning a Language Model with Public Input",2024,Yes,Include,NA,5
RLHF001,"Deep reinforcement learning from human preferences",2017,Yes,Include,NA,5
RLHF002,"Learning to summarize from human feedback",2020,Yes,Include,NA,5
RLHF003,"Training language models to follow instructions with human feedback",2022,Yes,Include,NA,5
RLHF004,"Training a helpful and harmless assistant with reinforcement learning from human feedback",2022,Yes,Include,NA,5
RLHF005,"WebGPT: Browser-assisted question-answering with human feedback",2021,Yes,Include,NA,4
RLHF006,"AMaPO: Adaptive Margin-attached Preference Optimization for Language Model Alignment",2025,Yes,Include,NA,4
RLHF007,"Efficient Reinforcement Learning from Human Feedback via Bayesian Preference Inference",2025,Yes,Include,NA,4
RLHF008,"RLHF: A comprehensive Survey for Cultural, Multimodal and Low Latency Alignment Methods",2025,Yes,Include,NA,4
RLHF009,"What's In My Human Feedback?",2025,Yes,Include,NA,3
RLHF010,"Greedy Sampling Is Provably Efficient for RLHF",2025,Yes,Include,NA,3
RLHF011,"PaTaRM: Bridging Pairwise and Pointwise Signals",2025,Yes,Include,NA,3
RLHF012,"The Sign Estimator: LLM Alignment in the Face of Choice Heterogeneity",2025,Yes,Include,NA,3
RLHF013,"Debiasing Reward Models by Representation Learning with Guarantees",2025,Yes,Include,NA,3
RLHF014,"Think Twice: Branch-and-Rethink Reasoning Reward Model",2025,Yes,Include,NA,3
RLHF015,"Offline Preference Optimization via Maximum Marginal Likelihood Estimation",2025,Yes,Include,NA,3
RLHF016,"Why DPO is a Misspecified Estimator and How to Fix It",2025,Yes,Include,NA,4
RLHF017,"Ask a Strong LLM Judge when Your Reward Model is Uncertain",2025,Yes,Include,NA,3
RLHF018,"Rectifying Shortcut Behaviors in Preference-based Reward Learning",2025,Yes,Include,NA,3
RLHF019,"Noise-corrected GRPO: From Noisy Rewards to Unbiased Gradients",2025,Yes,Include,NA,3
RLHF020,"Towards Faithful and Controllable Personalization via Critique-Post-Edit RL",2025,Yes,Include,NA,3
ALIGN001,"A general language assistant as a laboratory for alignment",2021,Yes,Include,NA,5
ALIGN002,"Improving alignment of dialogue agents via targeted human judgements",2022,Yes,Include,NA,5
ALIGN003,"Moral Change or Noise? On Problems of Aligning AI With Temporally Unstable Human Feedback",2025,Yes,Include,NA,3
ALIGN004,"Diverse Preference Learning for Capabilities and Alignment",2025,Yes,Include,NA,3
ALIGN005,"DeepPersona: A Generative Engine for Scaling Deep Synthetic Personas",2025,Yes,Include,NA,2
ALIGN006,"Multi-Reward GRPO Fine-Tuning for De-biasing Large Language Models",2025,Yes,Include,NA,3
ALIGN007,"Towards Aligning Multimodal LLMs with Human Experts",2025,Yes,Include,NA,2
ALIGN008,"Deep Value Benchmark: Measuring Whether Models Generalize Deep Values or Shallow Preferences",2025,Yes,Include,NA,3
