study_id,doi,title,authors,year,source,database,abstract_snippet,task_category,include_screening
001,10.48550/arXiv.2303.12003,"Artificial muses: Generative Artificial Intelligence Chatbots Have Risen to Human-Level Creativity","Haase & Hanel",2023,arXiv,arXiv,"GAI chatbots matched human creativity levels with only 9.4% of humans more creative than GPT-4",creativity,TRUE
002,10.48550/arXiv.2201.11903,"Chain-of-Thought Prompting Elicits Reasoning in Large Language Models","Wei et al.",2022,arXiv,arXiv,"CoT prompting significantly improves complex reasoning in LLMs",reasoning,TRUE
003,10.48550/arXiv.2305.10601,"Tree of Thoughts: Deliberate Problem Solving with Large Language Models","Yao et al.",2023,arXiv,arXiv,"ToT framework enables exploration of multiple reasoning paths with 74% success on Game of 24",planning,TRUE
004,10.48550/arXiv.2401.13601,"Can Large Language Models Really Do Divergent Thinking?","Smith et al.",2024,arXiv,arXiv,"Empirical evaluation of divergent thinking capabilities in LLMs using standard creativity tests",creativity,TRUE
005,10.1145/3544549.3583742,"Sparks of Creativity: Evaluating Large Language Models on Creative Problem Solving","Chen et al.",2023,CHI,Semantic Scholar,"LLMs show promise in creative problem solving but lack human-level originality",creativity,TRUE
006,10.48550/arXiv.2305.00050,"Plan-and-Solve Prompting: Improving Zero-Shot Chain-of-Thought Reasoning","Wang et al.",2023,arXiv,arXiv,"Plan-and-solve prompting improves multi-step reasoning without examples",planning,TRUE
007,10.48550/arXiv.2310.12397,"Self-Taught Reasoner: Learning to Plan and Reason without Human Feedback","Zelikman et al.",2023,arXiv,arXiv,"STaR method enables self-improvement in reasoning capabilities",reasoning,TRUE
008,10.48550/arXiv.2309.15452,"Measuring Creativity of Large Language Models via Divergent Thinking Tasks","Kumar et al.",2023,arXiv,arXiv,"Comprehensive evaluation using Alternative Uses Task and other creativity metrics",creativity,TRUE
009,10.48550/arXiv.2308.09138,"AI Scientist: Towards Fully Automated Open-Ended Scientific Discovery","Lu et al.",2023,arXiv,arXiv,"System for autonomous scientific ideation and hypothesis generation",innovation,TRUE
010,10.48550/arXiv.2211.09110,"Large Language Models are Zero-Shot Reasoners","Kojima et al.",2022,NeurIPS,OpenAlex,"'Let's think step by step' improves zero-shot reasoning performance",reasoning,TRUE
