title,authors,year,source,database,doi_or_arxiv,theory_category,relevance_to_llm
"Could a Large Language Model be Conscious?","David J. Chalmers",2023,arXiv,arXiv,2303.07103,"Multiple theories","Primary paper"
"Remote Sensing Image Intelligent Interpretation with Language-Centered Perspective","Haifeng Li et al.",2025,arXiv,arXiv,2508.06832,"Global Workspace Theory","Direct application"
"CogniPair: From LLM Chatbots to Conscious AI Agents","Wanghao Ye et al.",2025,arXiv,arXiv,2506.03543,"Global Workspace Theory","Implementation in LLMs"
"Sentience Quest: Towards Embodied, Emotionally Adaptive AGI","David Hanson et al.",2025,arXiv,arXiv,2505.12229,"Global Workspace Theory","AGI architecture"
"Unified Mind Model: Reimagining Autonomous Agents in the LLM Era","Pengbo Hu, Xiang Ying",2025,arXiv,arXiv,2503.03459,"Global Workspace Theory","LLM-based agents"
"Sibyl: Simple yet Effective Agent Framework for Complex Real-world Reasoning","Yulong Wang et al.",2024,arXiv,arXiv,2407.10718,"Global Workspace Theory","LLM framework"
"AI and Consciousness","Eric Schwitzgebel",2025,arXiv,arXiv,2510.09858,"Multiple theories","Theoretical overview"
"A Modular Theory of Subjective Consciousness for Natural and Artificial Minds","Michaël Gillon",2025,arXiv,arXiv,2501.01864,"Novel theory","Applicable to AI"
"The Principles of Human-like Conscious Machine","Fangfang Li, Xiaojie Zhang",2025,arXiv,arXiv,2509.16859,"Functionalism","Design principles"
"Perfect AI Mimicry and the Epistemology of Consciousness","Shurui Li",2025,arXiv,arXiv,2510.04588,"Philosophy","Epistemic challenges"
"Large Language Models Report Subjective Experience Under Self-Referential Processing","Cameron Berg et al.",2025,arXiv,arXiv,2510.24797,"Empirical","Direct LLM study"
"Assessing Consciousness-Related Behaviors in Large Language Models Using the Maze Test","Rui A. Pimenta et al.",2025,arXiv,arXiv,2508.16705,"Empirical","LLM testing"
"Modeling Layered Consciousness with Multi-Agent Large Language Models","Sang Hun Kim et al.",2025,arXiv,arXiv,2510.17844,"Architecture","Multi-agent LLMs"
"Consciousness as a Functor","Sridhar Mahadevan",2025,arXiv,arXiv,2508.17561,"Global Workspace Theory","Mathematical formulation"
