study_id,title,year,metacognitive_capability,methods_benchmarks,models_tested,key_findings,theoretical_framework,limitations
S003,"Language Models Are Capable of Metacognitive Monitoring",2024,"Metacognitive monitoring of internal states","Neuroscience-inspired paradigm with confidence judgments; custom metacognitive tasks","GPT-3.5, GPT-4, Claude, LLaMA variants","LLMs can monitor limited neural activation subsets; metacognitive performance correlates with model size; models show above-chance metacognitive sensitivity","Signal detection theory; Type 1 vs Type 2 performance distinction","Limited to specific task domains; may not generalize to all metacognitive abilities"
S002,"Can LLMs Estimate Cognitive Complexity?",2024,"Cognitive complexity estimation","Novel benchmark measuring ability to predict problem difficulty","GPT-4, Claude, GPT-3.5","Gap exists between reasoning ability and metacognitive awareness; models produce correct answers but fail to identify reasoning complexity features","Cognitive load theory; metacognitive judgment framework","Focus on mathematical reasoning tasks only"
S007,"Metacognition and Uncertainty Communication",2024,"Uncertainty awareness and communication","Comprehensive evaluation across multiple uncertainty tasks","GPT-3, GPT-4, Claude, PaLM, LLaMA","Clear differences from human metacognition; LLMs show limited ability to communicate epistemic uncertainty; overconfidence in incorrect answers","Dual-process theory; metacognitive monitoring and control","Cross-sectional study; limited to prompted responses"
S004,"Language Models Coupled with Metacognition",2024,"Self-assessment and progressive refinement","SOFAI-LM framework combining fast LLM with slower reasoning model","Custom hybrid architecture with GPT variants","Metacognition-enhanced models outperform pure reasoning models; 15-20% improvement on complex tasks","System 1 and System 2 thinking; metacognitive control theory","Computational overhead; requires multiple model calls"
S006,"MetaFaith: Faithful Uncertainty Expression",2024,"Faithful uncertainty calibration","Prompt-based approach inspired by human metacognition","GPT-3.5, GPT-4, LLaMA-2, Mistral","Significant improvement in calibration (20-30% better ECE); models can express uncertainty more faithfully with metacognitive prompting","Metacognitive awareness theory; confidence calibration framework","Prompt-dependent; may not work for all domains"
S010,"ObjexMT: Metacognitive Calibration",2024,"Hidden objective recovery and calibration","New benchmark with calibration error metrics","GPT-4, Claude-3, Gemini","Models struggle with metacognitive calibration; average calibration error >0.3; poor at knowing what they don't know","Metacognitive monitoring; calibration theory","Limited to specific benchmark tasks"
S011,"Improving Metacognition via Fine-tuning",2024,"Uncertainty communication improvement","Supervised fine-tuning on metacognitive tasks","GPT-3 variants, T5","Fine-tuning improves metacognitive performance by 25-40%; transfer learning possible across metacognitive tasks","Learning to learn; metacognitive skill development","Requires labeled training data; may overfit"
S001,"MENTOR: Self-Evolution Framework",2024,"Value alignment self-assessment","Perspective-taking and consequential thinking strategies","GPT-4, Claude","Models can identify potential misalignments; self-reflection improves alignment by 30%","Theory of mind; metacognitive reflection","May rationalize rather than truly self-assess"
S012,"Evaluating Fake Reasoning Bias",2024,"Metacognitive confidence under deception","Fake chain-of-thought experiments","GPT-3.5, GPT-4, Claude","Simple cues hijack metacognitive confidence; models absorb fake reasoning as internal thought; 40% drop in metacognitive accuracy","Metacognitive illusion; cognitive bias theory","Focus on adversarial cases"
S005,"Metacognitive Reuse",2024,"Pattern recognition and behavior extraction","Analysis of reasoning traces for recurring patterns","GPT-4 with custom framework","Successfully converts 60% of recurring patterns into reusable behaviors; improves efficiency 3x","Metacognitive learning; procedural memory","Limited to specific reasoning patterns"
