study_id,title,authors,year,venue,database,abstract_snippet,doi_arxiv
S001,"MENTOR: Metacognition-Driven Self-Evolution Framework","Liang Shan et al.",2024,arXiv,arXiv,"Novel metacognitive self-assessment tool enables LLMs to reflect on potential value misalignments using perspective-taking and consequential thinking",2511.07107
S002,"Can LLMs Estimate Cognitive Complexity?","Seonjeong Hwang et al.",2024,arXiv,arXiv,"Gap exists between LLMs' reasoning ability and their metacognitive awareness: they produce correct answers yet fail to identify underlying features",2510.25064
S003,"Language Models Are Capable of Metacognitive Monitoring","Li Ji-An et al.",2024,arXiv,arXiv,"Neuroscience-inspired paradigm quantifies metacognitive abilities showing LLMs monitor limited neural activation subsets",2505.13763
S004,"Language Models Coupled with Metacognition Outperform Reasoning Models","Vedant Khandelwal et al.",2024,arXiv,arXiv,"SOFAI-LM coordinates fast LLM with slower LRM through metacognition enabling progressive solution refinement",2508.17959
S005,"Metacognitive Reuse: Turning Recurring Reasoning into Behaviors","Aniket Didolkar et al.",2024,arXiv,arXiv,"Converts recurring reasoning fragments into concise behaviors via model's own metacognitive analysis of prior traces",2509.13237
S006,"MetaFaith: Faithful Natural Language Uncertainty Expression","Gabrielle Liu et al.",2024,arXiv,arXiv,"Novel prompt-based approach inspired by human metacognition improves faithful calibration across diverse models",2505.24858
S007,"Metacognition and Uncertainty Communication in Humans and LLMs","Mark Steyvers & Megan Peters",2024,arXiv,arXiv,"Overview of LLMs' metacognitive capacities shows clear differences from humans important for human-AI collaboration",2504.14045
S008,"MeLA: Metacognitive LLM-Driven Architecture","Zishang Qiu et al.",2024,arXiv,arXiv,"Novel metacognitive framework analyzes performance feedback to systematically refine generative strategy for heuristic design",2507.20541
S009,"Metacognitive Self-Correction for Multi-Agent Systems","Xu Shen et al.",2024,arXiv,arXiv,"MASC framework endowing multi-agent systems with real-time unsupervised step-level error detection and self-correction",2510.14319
S010,"ObjexMT: Objective Extraction and Metacognitive Calibration","Hyunjun Kim et al.",2024,arXiv,arXiv,"Benchmark tests if judges can recover hidden objectives and assess metacognition through calibration error metrics",2508.16889
S011,"Improving Metacognition and Uncertainty Communication","Mark Steyvers et al.",2024,arXiv,arXiv,"Investigates whether supervised fine-tuning improves models' ability to communicate uncertainty across metacognitive tasks",2510.05126
S012,"Evaluating Fake Reasoning Bias in Language Models","Qian Wang et al.",2024,arXiv,arXiv,"Simple cues hijack metacognitive confidence while fake chains of thought are absorbed as internal thought",2507.13758
S013,"If Pigs Could Fly: Counterfactual Reasoning in LLMs","Ishwar Balappanawar et al.",2024,arXiv,arXiv,"Self-Segregate prompting enables metacognitive awareness by identifying knowledge conflicts before reasoning",2505.22318
S014,"MetaMind: Modeling Human Social Thoughts","Xuanming Zhang et al.",2024,arXiv,arXiv,"Multi-agent framework inspired by psychological theories of metacognition emulates human-like social reasoning",2505.18943
S015,"Think Reflect Create: Metacognitive Learning for Robotic Planning","Wenjie Lin et al.",2024,arXiv,arXiv,"Framework integrates metacognitive learning enabling skill decomposition self-reflection and creative solution synthesis",2505.14899
S016,"Cog-Rethinker: Hierarchical Metacognitive RL","Zexu Sun et al.",2024,arXiv,arXiv,"Hierarchical metacognitive two-stage framework leverages human cognition decomposing problems and refining answers",2510.15979
S017,"Chain of Methodologies: Scaling Test Time Computation","Cong Liu et al.",2024,arXiv,arXiv,"Framework leverages metacognitive abilities of advanced LLMs activating systematic reasoning without fine-tuning",2506.06982
S018,"Cognitive Workspace: Active Memory Management","Tao An",2024,arXiv,arXiv,"Transcends traditional RAG by emulating human metacognitive awareness and active planning in memory management",2508.13171
S019,"Path Drift in Large Reasoning Models","Yuyi Huang et al.",2024,arXiv,arXiv,"Proposes path-level defense strategy incorporating role attribution correction and metacognitive reflection as safety cues",2510.10013
S020,"Why Distillation Can Outperform Zero-RL","Xiao Hu et al.",2024,arXiv,arXiv,"Distilled models show enhanced metacognitive awareness through frequent use of logical connectors",2505.21067
S021,"Evaluating Long-Term Memory for Long-Context QA","Alessandra Terranova et al.",2024,arXiv,arXiv,"Episodic memory can help LLMs recognize the limits of their own knowledge submitted to Metacognition workshop",2510.23730
S022,"Multi-faceted Analysis of Cognitive Abilities","Sohyeon Jeon & Hyung-Chul Lee",2024,arXiv,arXiv,"Uncertainty calibration and metacognitive reliability of LLM reasoning remain poorly understood in medical contexts",2510.19139
S023,"Comprehension Without Competence","Zheng Zhang",2024,arXiv,arXiv,"Future models need metacognitive control principle lifting and structurally grounded execution",2507.10624
S024,"Thinking About Thinking: SAGE-nano's Inverse Reasoning","Basab Jha et al.",2024,arXiv,arXiv,"Employs metacognitive structure reflecting back via attention to identify decision points and generate reasoning explanations",2507.00092
S025,"Pangu Embedded: Efficient Dual-system LLM Reasoner","Hanting Chen et al.",2024,arXiv,arXiv,"Dual-system framework offers manual and automatic complexity-aware mode selection with metacognitive capabilities",2505.22375
S026,"Reflection Before Action Framework","Morita Tarvirdians et al.",2024,arXiv,arXiv,"LLMs often steer users toward solutions limiting metacognitive awareness of their own decision-making processes",2510.04364
S027,"Skill-Targeted Adaptive Training","Yinghui He et al.",2024,arXiv,arXiv,"Uses metacognition ability of stronger LLM as teacher to create missing-skill profiles tracking student failures",2510.10023
S028,"AdaptMI: Adaptive Skill-based In-context Math Instruction","Yinghui He et al.",2024,arXiv,arXiv,"Leverages frontier LLM's metacognition to predict required skills addressing cognitive overload in small models",2505.00147
S029,"The Imperfect Learner: Developmental Trajectories","Zhengyuan Liu et al.",2024,arXiv,arXiv,"Framework integrates metacognitive processes and personality traits to enrich individual learner profiling",2511.05903
S030,"EduDial: Teacher-Student Dialogue Corpus","Shouang Wei et al.",2024,arXiv,arXiv,"Design incorporates metacognitive questioning strategies within 11-dimensional evaluation framework measuring teaching abilities",2510.12899
S031,"The Mechanical Yes-Man: Emancipatory AI Pedagogy","Linda Rocco",2024,arXiv,arXiv,"Proposes emancipatory pedagogy emphasizing cultivation of metacognitive awareness and critical interrogation of AI outputs",2510.10176
S032,"AgentBnB: Browser-Based Cybersecurity Training","Arman Anwar & Zefang Liu",2024,arXiv,arXiv,"Retrieval-augmented copilot delivers cognitively targeted hints expanding curated corpus into metacognitive snippets",2511.00265
S033,"AI for Mentor-Novice Collaboration","Evey Huang et al.",2024,arXiv,arXiv,"System proactively scaffolds both novice and mentor thinking to support metacognitive demands in decision-making",2508.11052
S034,"Beyond Automation: Socratic AI and Multi-Agent Learning","Peer-Benedikt Degen & Igor Asanov",2024,arXiv,arXiv,"Socratic Tutor significantly improved student reports of support for critical thinking stimulating metacognitive engagement",2508.05116
S035,"HarmonyGuard: Safety and Utility in Web Agents","Yurun Chen et al.",2024,arXiv,arXiv,"Utility Agent utilizes metacognitive capabilities for optimization in dual-objective reasoning",2508.04010
S036,"EduVisBench and EduVisAgent Framework","Haonian Ji et al.",2024,arXiv,arXiv,"Multi-agent framework coordinates agents for metacognitive prompting in visualization design",2505.16832
S037,"Irec: Metacognitive Scaffolding for Self-Regulated Learning","Xuefei Hou & Xizhao Tan",2024,arXiv,arXiv,"Uses dynamic knowledge graph of learning history as metacognitive scaffold to promote self-regulated learning",2506.20156
S038,"SRLAgent: Self-Regulated Learning through Gamification","Wentao Ge et al.",2024,arXiv,arXiv,"System supports metacognitive skill development through gamified environment with real-time AI feedback",2506.09968
S039,"SSRLBot: Socially Shared Regulated Learning Agent","Xiaoshan Huang et al.",2024,arXiv,arXiv,"SSRL framework emphasizes metacognitive cognitive motivational interactions in collaborative team diagnosis",2505.00945
S040,"Spatial Balancing in Science Communication","Kexue Fu et al.",2024,arXiv,arXiv,"System enhanced metacognitive reflection flexibility and creative exploration during revision process",2509.13742
S041,"Probeable Problems in Introductory Programming","Paul Denny et al.",2024,arXiv,arXiv,"Probeable tasks provide benefits to critical thinking and metacognitive skills through systematic exploration",2504.11723
