study_id,title,reviewer1_include,reviewer1_reason,reviewer2_include,reviewer2_reason,final_include,final_reason
S001,"Evaluating Large Language Models in Theory of Mind Tasks",TRUE,"Direct evaluation of ToM in LLMs",TRUE,"Primary ToM evaluation study",TRUE,"Core ToM evaluation study"
S002,"Theory of Mind in Large Language Models: Examining Performance of 11 State-of-the-Art models vs. Children Aged 7-10 on Advanced Tests",TRUE,"Comprehensive ToM benchmark with human comparison",TRUE,"Direct ToM evaluation with human baseline",TRUE,"Comprehensive ToM benchmark study"
S003,"Deception Abilities Emerged in Large Language Models",TRUE,"Tests false belief understanding",TRUE,"ToM capability assessment",TRUE,"False belief understanding study"
S004,"Do Large Language Models know what humans know?",TRUE,"ToM evaluation with human comparison",TRUE,"False belief task evaluation",TRUE,"ToM evaluation with human baseline"
S005,"Doing Things with Words: Rethinking Theory of Mind Simulation in Large Language Models",TRUE,"ToM simulation evaluation",TRUE,"Novel ToM evaluation approach",TRUE,"ToM simulation methodology"
S006,"SocialNLI: A Dialogue-Centric Social Inference Dataset",TRUE,"ToM benchmark development",TRUE,"New ToM dataset creation",TRUE,"ToM benchmark dataset"
S007,"LLM-Hanabi: Evaluating Multi-Agent Gameplays with Theory-of-Mind and Rationale Inference",TRUE,"Game-based ToM evaluation",TRUE,"Multi-agent ToM assessment",TRUE,"Game-based ToM benchmark"
S008,"TactfulToM: Do LLMs Have the Theory of Mind Ability to Understand White Lies?",TRUE,"Specific ToM capability evaluation",TRUE,"Novel ToM task (white lies)",TRUE,"White lies ToM benchmark"
S009,"Do Large Language Models Have a Planning Theory of Mind?",TRUE,"Planning ToM evaluation",TRUE,"Novel ToM dimension",TRUE,"Planning ToM assessment"
S010,"Small LLMs Do Not Learn a Generalizable Theory of Mind via Reinforcement Learning",TRUE,"ToM learning capabilities study",TRUE,"ToM limitations assessment",TRUE,"ToM learning limitations"
S011,"MOMENTS: A Comprehensive Multimodal Benchmark for Theory of Mind",TRUE,"Comprehensive ToM benchmark",TRUE,"Multimodal ToM evaluation",TRUE,"Multimodal ToM benchmark"
S012,"Theory of Mind in Action: The Instruction Inference Task",TRUE,"New ToM task development",TRUE,"ToM benchmark creation",TRUE,"Instruction inference ToM task"
S013,"SoMi-ToM: Evaluating Multi-Perspective Theory of Mind in Embodied Social Interactions",TRUE,"Embodied ToM evaluation",TRUE,"Multi-perspective ToM",TRUE,"Embodied multi-perspective ToM"
S014,"Agent-to-Agent Theory of Mind: Testing Interlocutor Awareness among Large Language Models",TRUE,"Inter-agent ToM evaluation",TRUE,"Novel ToM perspective",TRUE,"Inter-agent ToM assessment"
S015,"The Decrypto Benchmark for Multi-Agent Reasoning and Theory of Mind",TRUE,"Game-based ToM benchmark",TRUE,"Multi-agent ToM evaluation",TRUE,"Decrypto ToM benchmark"
S016,"Language Models Might Not Understand You: Evaluating Theory of Mind via Story Prompting",TRUE,"Story-based ToM evaluation",TRUE,"Synthetic ToM assessment",TRUE,"Story-based ToM evaluation"
S017,"Towards Safety Evaluations of Theory of Mind in Large Language Models",TRUE,"ToM safety implications",TRUE,"Safety-oriented ToM",TRUE,"ToM safety evaluation"
S018,"From Black Boxes to Transparent Minds: Evaluating and Enhancing the Theory of Mind in Multimodal Large Language Models",TRUE,"ToM interpretability study",TRUE,"Multimodal ToM enhancement",TRUE,"ToM interpretability in MLLMs"
S019,"Can consciousness be observed from large language model internal states?",FALSE,"Focus on consciousness, not ToM evaluation",TRUE,"Uses ToM test results",FALSE,"Primary focus not ToM"
S020,"Towards Machine Theory of Mind with Large Language Model-Augmented Inverse Planning",TRUE,"Hybrid ToM approach",TRUE,"ToM methodology development",TRUE,"Hybrid ToM methodology"
S021,"Spontaneous High-Order Generalization in Neural Theory-of-Mind Networks",FALSE,"Focus on neural networks, not LLMs",FALSE,"Not specifically about LLMs",FALSE,"Not LLM-focused"
S022,"ProToM: Promoting Prosocial Behaviour via Theory of Mind-Informed Feedback",TRUE,"ToM application in multi-agent systems",TRUE,"ToM-based system design",TRUE,"ToM application study"
S023,"LLMs and their Limited Theory of Mind: Evaluating Mental State Annotations in Situated Dialogue",TRUE,"ToM limitations evaluation",TRUE,"Direct ToM assessment",TRUE,"ToM limitations in dialogue"
S024,"Validating Generative Agent-Based Models of Social Norm Enforcement",TRUE,"ToM in agent-based models",TRUE,"ToM capability assessment",TRUE,"ToM in social simulations"
S025,"Towards Cognitive Synergy in LLM-Based Multi-Agent Systems",TRUE,"ToM in multi-agent LLM systems",TRUE,"ToM collaboration study",TRUE,"ToM in multi-agent systems"
S026,"Integrating LLM in Agent-Based Social Simulation: Opportunities and Challenges",TRUE,"ToM capabilities analysis",TRUE,"ToM in social simulation",TRUE,"ToM in social simulation"
S027,"DPMT: Dual Process Multi-scale Theory of Mind Framework for Real-time Human-AI Collaboration",TRUE,"ToM framework development",TRUE,"ToM for human-AI interaction",TRUE,"ToM framework for collaboration"
S028,"A validity-guided workflow for robust large language model research in psychology",TRUE,"ToM measurement methodology",TRUE,"ToM reliability issues",TRUE,"ToM measurement validity"
S029,"Language-Informed Synthesis of Rational Agent Models for Grounded Theory-of-Mind Reasoning",TRUE,"Grounded ToM reasoning",TRUE,"Novel ToM approach",TRUE,"Grounded ToM reasoning"
S030,"MIST: Towards Multi-dimensional Implicit BiaS Evaluation of LLMs via Theory of Mind",TRUE,"ToM for bias evaluation",TRUE,"ToM application methodology",TRUE,"ToM for bias assessment"
